rank,uid,profile,start_date,end_date,name,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,countries,editors,hashtags
1,8379329,https://www.openstreetmap.org/user/Deuckchung,2023-02-28 15:00:00+00:00,2023-03-31 15:00:00+00:00,Deuckchung,5.0,5164.0,2512.0,1725.0,147.0,563.0,213.0,4.0,0.0,0.0,0.0,0.0,0.0,556.0,197.0,7.0,8.0,Syrian Arab Republic,JOSM/1.5 (18678 en),"#AKDN,#msfk,#hotosm-project-14245,#TürkiyeEQ060223,#OMHAP,#msfk23,#Syria,#MissingMaps,#hotosm-project-14232"
2,15229898,https://www.openstreetmap.org/user/Palan%20Lee,2023-02-28 15:00:00+00:00,2023-03-31 15:00:00+00:00,Palan Lee,7.0,1765.0,1232.0,297.0,128.0,62.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,62.0,24.0,0.0,0.0,"Nigeria,Niger",iD 2.21.1,"#IRSMagaria,#Msf,#hotosm-project-11872,#Nigeria,#msfk,#Goronyo,#msf,#missingmaps,#msfk23,#2021NigeriaNoma,#hotosm-project-14278,#MissingMaps"
3,12398465,https://www.openstreetmap.org/user/upscope,2023-02-28 15:00:00+00:00,2023-03-31 15:00:00+00:00,upscope,6.0,943.0,804.0,39.0,54.0,37.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,22.0,6.0,Turkey,RapiD 1.1.9-tm.1,"#turkiye,#hotosm-project-14262,#msfk,#TürkiyeEQ060223,#msfk23,#turkey,#yercizenler"
4,18543348,https://www.openstreetmap.org/user/jungyouth,2023-02-28 15:00:00+00:00,2023-03-31 15:00:00+00:00,jungyouth,9.0,921.0,547.0,34.0,165.0,133.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,3.0,4.0,Syrian Arab Republic,iD 2.21.1,"#AKDN,#hotosm-project-14230,#hotosm-project-14311,#msfk,#TürkiyeEQ060223,#OMHAP,#msfk23,#Syria,#MissingMaps"
5,18259307,https://www.openstreetmap.org/user/Ireneeom,2023-02-28 15:00:00+00:00,2023-03-31 15:00:00+00:00,Ireneeom,5.0,897.0,733.0,0.0,0.0,155.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,18.0,9.0,Ghana,iD 2.21.1,"#Ghana,#OSMGhana,#msfk,#htuyouthmappers,#hotosm-project-14399,#msfk23,#youthmappers"
6,17327267,https://www.openstreetmap.org/user/MarigoldC,2023-02-28 15:00:00+00:00,2023-03-31 15:00:00+00:00,MarigoldC,5.0,786.0,20.0,752.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,"Libyan Arab Jamahiriya,Nigeria,Syrian Arab Republic",iD 2.21.1,"#LNSDI,#MapLibya,#StreetsRoads,#msfk,#GRMI,#Water,#MissingMaps,#hotosm-project-11607,#hotosm-project-11109,#missingmaps,#msfk23,#NigeriaFloods2021,#Soil,#Vegetation,#OSMGeoWeek,#TürkiyeEQ060223,#Buildings,#Syria,#MapTripoli,#Infrastructure,#hotosm-project-14246,#Air,#LandUseLandCover,#OMHAP,#LNDTI"
7,15678330,https://www.openstreetmap.org/user/waterparse,2023-02-28 15:00:00+00:00,2023-03-31 15:00:00+00:00,waterparse,16.0,614.0,503.0,0.0,0.0,109.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,5.0,2.0,"Turkey,Syrian Arab Republic","iD 2.21.1,RapiD 1.1.9-tm.1","#turkey,#turkiye,#hotosm-project-14262,#msfk,#msf,#TürkiyeEQ060223,#OMHAP,#msfk23,#Syria,#MissingMaps,#hotosm-project-14246,#yercizenler"
8,18756785,https://www.openstreetmap.org/user/%ED%99%8D%EC%B0%BD%EA%B8%B0,2023-02-28 15:00:00+00:00,2023-03-31 15:00:00+00:00,홍창기,2.0,549.0,451.0,0.0,0.0,96.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,Malawi,iD 2.21.1,"#MangochiDistrict,#msfk,#malawicholeraoutbreak,#missingmaps,#msf,#hotosm-project-14355"
9,18415567,https://www.openstreetmap.org/user/Choe%20Gwanghyeon,2023-02-28 15:00:00+00:00,2023-03-31 15:00:00+00:00,Choe Gwanghyeon,3.0,424.0,212.0,138.0,21.0,43.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,42.0,4.0,1.0,3.0,Syrian Arab Republic,iD 2.21.1,"#hotosm-project-14311,#msfk,#TürkiyeEQ060223,#OMHAP,#msfk23,#Syria,#MissingMaps"
