rank,uid,profile,start_date,end_date,name,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,countries,editors,hashtags
1,15229898,https://www.openstreetmap.org/user/Palan%20Lee,2023-06-30 15:00:00+00:00,2023-07-31 15:00:00+00:00,Palan Lee,37.0,10740.0,10005.0,15.0,0.0,714.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0,0.0,0.0,4.0,Chad,iD 2.21.1,"#hotosm-project-15059,#msf,#WestDarfur2023,#msfk,#msfk23,#missingmaps"
2,19631822,https://www.openstreetmap.org/user/%EC%86%8C%EC%A9%8D%EC%83%88%EB%9D%BC%EC%9D%B4%EB%8D%94,2023-06-30 15:00:00+00:00,2023-07-31 15:00:00+00:00,소쩍새라이더,34.0,6201.0,4930.0,10.0,30.0,1207.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,1207.0,2.0,0.0,0.0,Democratic Republic of the Congo,iD 2.21.1,"#hotosm-project-14463,#hotosm-project-14967,#msf,#masisi23,#msfk,#msfk23,#missingmaps"
3,19956002,https://www.openstreetmap.org/user/timeontheroad,2023-06-30 15:00:00+00:00,2023-07-31 15:00:00+00:00,timeontheroad,93.0,4793.0,2726.0,856.0,446.0,607.0,66.0,92.0,0.0,0.0,0.0,0.0,10.0,603.0,22.0,4.0,41.0,Chad,iD 2.21.1,"#Ndjamena,#msf,#hotosm-project-15181,#msfk,#msfk23,#Ndjamena2023,#missingmaps"
4,18827794,https://www.openstreetmap.org/user/Doyeon%20Kim%2012,2023-06-30 15:00:00+00:00,2023-07-31 15:00:00+00:00,Doyeon Kim 12,26.0,4687.0,3443.0,83.0,406.0,703.0,5.0,47.0,0.0,0.0,0.0,0.0,0.0,701.0,2.0,0.0,1.0,"Malawi,Sudan,Chad,Democratic Republic of the Congo",iD 2.21.1,"#hotosm-project-15059,#hotosm-project-15076,#malawicholeraoutbreak,#hotosm-project-14967,#hotosm-project-15140,#msf,#MangochiDistrict,#masisi23,#hotosm-project-14389,#WestDarfur2023,#msfk,#msfk23,#missingmaps"
5,19799882,https://www.openstreetmap.org/user/kimjuhyun,2023-06-30 15:00:00+00:00,2023-07-31 15:00:00+00:00,kimjuhyun,42.0,3159.0,2055.0,155.0,500.0,339.0,36.0,74.0,0.0,0.0,0.0,0.0,0.0,325.0,21.0,7.0,10.0,"Ethiopia,Sri Lanka,Nigeria",iD 2.21.1,"#msfk20,#msf,#Nigeria,#kalutara,#omofoodsecuritymapping,#msfk,#dmc,#OSMEthiopia,#srilanka,#hotosm-project-14858,#hotosm-project-13334,#missingmaps,#hotosm-project-14637,#Gummi"
6,19799890,https://www.openstreetmap.org/user/yoonki_lee,2023-06-30 15:00:00+00:00,2023-07-31 15:00:00+00:00,yoonki_lee,45.0,2350.0,1902.0,5.0,0.0,440.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,3.0,0.0,0.0,Sri Lanka,iD 2.21.1,"#msfk20,#kalutara,#msfk,#dmc,#srilanka,#hotosm-project-14637"
7,18997209,https://www.openstreetmap.org/user/baejiye,2023-06-30 15:00:00+00:00,2023-07-31 15:00:00+00:00,baejiye,2.0,2212.0,1150.0,0.0,897.0,117.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,"Kenya,Nigeria",iD 2.21.1,"#msfk,#msfk23,#hotosm-project-14869"
8,18938833,https://www.openstreetmap.org/user/HyeinHong,2023-06-30 15:00:00+00:00,2023-07-31 15:00:00+00:00,HyeinHong,32.0,1729.0,1430.0,1.0,0.0,295.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,1.0,0.0,1.0,Malawi,iD 2.21.1,"#malawicholeraoutbreak,#msf,#MangochiDistrict,#hotosm-project-14389,#msfk,#msfk23,#missingmaps"
9,16462313,https://www.openstreetmap.org/user/junggill,2023-06-30 15:00:00+00:00,2023-07-31 15:00:00+00:00,junggill,15.0,1580.0,1390.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,Sudan,iD 2.21.1,"#hotosm-project-15076,#googlekorea23,#msf,#WestDarfur2023,#msfk,#msfk23,#googlekorea,#missingmaps"
10,19809520,https://www.openstreetmap.org/user/kkhyun,2023-06-30 15:00:00+00:00,2023-07-31 15:00:00+00:00,kkhyun,29.0,1559.0,987.0,140.0,177.0,213.0,13.0,27.0,0.0,0.0,2.0,0.0,0.0,209.0,3.0,4.0,9.0,"Egypt,Malawi,Sri Lanka,Sudan",iD 2.21.1,"#msfk20,#hotosm-project-14791,#hotosm-project-15140,#msf,#kalutara,#WestDarfur2023,#msfk,#msfk23,#dmc,#hotosm-project-14320,#srilanka,#missingmaps,#hotosm-project-14637"
