timestamp,users,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,editors
2023-02-16,3.0,10.0,1235.0,872.0,120.0,34.0,157.0,44.0,7.0,1.0,0.0,0.0,0.0,7.0,150.0,18.0,6.0,24.0,"{""id"": 921, ""josm"": 220, ""rapid"": 94}"
2023-02-17,40.0,254.0,22245.0,20239.0,100.0,187.0,1661.0,39.0,19.0,0.0,0.0,0.0,0.0,2.0,1583.0,28.0,9.0,3.0,"{""id"": 22238, ""josm"": 7}"
2023-02-18,2.0,9.0,2620.0,1084.0,805.0,501.0,95.0,94.0,41.0,0.0,0.0,0.0,0.0,0.0,92.0,66.0,2.0,24.0,"{""josm"": 2021, ""id"": 599}"
2023-02-19,1.0,4.0,455.0,373.0,14.0,3.0,46.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,28.0,19.0,"{""rapid"": 455}"
2023-02-20,1.0,2.0,38.0,34.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,"{""rapid"": 38}"
2023-02-21,1.0,7.0,887.0,724.0,0.0,0.0,160.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,10.0,2.0,"{""id"": 887}"
2023-02-23,2.0,6.0,804.0,455.0,234.0,40.0,37.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,29.0,12.0,6.0,"{""josm"": 488, ""rapid"": 316}"
2023-02-24,2.0,2.0,84.0,62.0,4.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,3.0,"{""id"": 84}"
2023-02-25,1.0,1.0,591.0,267.0,267.0,5.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,1.0,"{""rapid"": 591}"
2023-02-26,1.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"{""rapid"": 5}"
2023-02-28,1.0,1.0,27.0,16.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,"{""id"": 27}"
2023-03-01,2.0,9.0,400.0,228.0,123.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,"{""id"": 400}"
2023-03-02,1.0,3.0,493.0,394.0,26.0,50.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,7.0,2.0,"{""rapid"": 493}"
2023-03-05,1.0,5.0,897.0,733.0,0.0,0.0,155.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,18.0,9.0,"{""id"": 897}"
2023-03-06,2.0,5.0,1745.0,711.0,758.0,84.0,82.0,105.0,5.0,0.0,0.0,0.0,0.0,0.0,66.0,99.0,16.0,5.0,"{""josm"": 1295, ""rapid"": 450}"
2023-03-07,2.0,2.0,2131.0,1001.0,777.0,52.0,203.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,86.0,6.0,5.0,"{""josm"": 1951, ""id"": 180}"
2023-03-08,2.0,5.0,1367.0,820.0,302.0,148.0,46.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,2.0,2.0,"{""id"": 1367}"
2023-03-09,1.0,8.0,342.0,279.0,0.0,0.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,5.0,2.0,"{""rapid"": 342}"
2023-03-11,1.0,1.0,141.0,0.0,139.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""id"": 141}"
2023-03-13,2.0,3.0,424.0,212.0,138.0,21.0,43.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,42.0,4.0,1.0,3.0,"{""id"": 424}"
2023-03-15,1.0,1.0,218.0,8.0,206.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,"{""id"": 218}"
2023-03-17,1.0,2.0,461.0,202.0,29.0,145.0,48.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,1.0,2.0,"{""id"": 461}"
2023-03-18,1.0,2.0,549.0,451.0,0.0,0.0,96.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,"{""id"": 549}"
2023-03-19,1.0,1.0,218.0,4.0,208.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"{""id"": 218}"
2023-03-21,2.0,5.0,2378.0,1791.0,203.0,15.0,354.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,13.0,0.0,2.0,"{""josm"": 1918, ""id"": 460}"
2023-03-22,1.0,1.0,81.0,4.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"{""id"": 81}"
2023-03-26,1.0,3.0,104.0,84.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,"{""id"": 104}"
2023-03-27,1.0,2.0,114.0,92.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,"{""id"": 114}"
2023-04-01,1.0,11.0,473.0,285.0,123.0,0.0,62.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2.0,1.0,1.0,"{""id"": 473}"
2023-04-02,1.0,9.0,728.0,618.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,"{""id"": 728}"
