rank,uid,profile,start_date,end_date,name,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,countries,editors,hashtags
1,19956002,https://www.openstreetmap.org/user/timeontheroad,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,timeontheroad,45.0,3740.0,1442.0,1341.0,528.0,291.0,57.0,79.0,1.0,0,1.0,0,0.0,290.0,24.0,1.0,31.0,Chad,iD 2.21.1,"#Ndjamena2023,#msfk23,#Ndjamena,#hotosm-project-15181,#msf,#msfk,#missingmaps"
2,14086374,https://www.openstreetmap.org/user/HEllieP,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,HEllieP,33.0,3020.0,1767.0,57.0,627.0,429.0,7.0,133.0,0.0,0,0.0,0,0.0,429.0,1.0,0.0,5.0,Chad,iD 2.21.1,"#Ndjamena2023,#msfk23,#Ndjamena,#hotosm-project-15181,#msf,#msfk,#missingmaps"
3,7245212,https://www.openstreetmap.org/user/LuxuryCoop,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,LuxuryCoop,5.0,3012.0,2043.0,457.0,42.0,439.0,21.0,9.0,1.0,0,0.0,0,0.0,438.0,17.0,0.0,0.0,Chad,"iD 2.21.1,JOSM/1.5 (18789 ko)","#Ndjamena2023,#msfk23,#Ndjamena,#hotosm-project-15181,#msf,#msfk,#missingmaps"
4,18467579,https://www.openstreetmap.org/user/hanB,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,hanB,23.0,2194.0,1805.0,0.0,0.0,389.0,0.0,0.0,0.0,0,0.0,0,0.0,389.0,0.0,0.0,0.0,Chad,iD 2.21.1,"#Ndjamena2023,#msfk23,#Ndjamena,#hotosm-project-15181,#msf,#msfk,#missingmaps"
5,15229898,https://www.openstreetmap.org/user/Palan%20Lee,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,Palan Lee,9.0,2103.0,1023.0,601.0,337.0,69.0,33.0,40.0,0.0,0,0.0,0,0.0,69.0,26.0,0.0,7.0,Chad,iD 2.21.1,"#hotosm-project-15448,#msfk23,#Moissala2023,#msf,#msfk,#missingmaps"
6,20205057,https://www.openstreetmap.org/user/oceans18,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,oceans18,7.0,1716.0,1601.0,0.0,0.0,114.0,1.0,0.0,0.0,0,0.0,0,0.0,114.0,0.0,0.0,1.0,Sudan,iD 2.21.1,"#msfk23,#hotosm-project-15447,#msf,#WestDarfur2023,#msfk,#missingmaps"
7,20269148,https://www.openstreetmap.org/user/seoyoungmooon,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,seoyoungmooon,15.0,1349.0,1035.0,11.0,50.0,235.0,6.0,12.0,0.0,0,0.0,0,0.0,235.0,4.0,0.0,1.0,Chad,iD 2.21.1,"#Ndjamena2023,#msfk23,#Ndjamena,#hotosm-project-15181,#msf,#msfk,#missingmaps"
8,11445075,https://www.openstreetmap.org/user/tldms017,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,tldms017,5.0,1317.0,951.0,35.0,81.0,232.0,4.0,14.0,0.0,0,0.0,0,0.0,232.0,3.0,0.0,0.0,Chad,iD 2.21.1,"#Ndjamena2023,#msfk23,#Ndjamena,#hotosm-project-15181,#msf,#msfk,#missingmaps"
9,20269079,https://www.openstreetmap.org/user/Yujin%20Ko,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,Yujin Ko,12.0,1218.0,983.0,0.0,0.0,232.0,3.0,0.0,0.0,0,0.0,0,0.0,232.0,0.0,0.0,1.0,Chad,iD 2.21.1,"#Ndjamena2023,#msfk23,#Ndjamena,#hotosm-project-15181,#msf,#msfk,#missingmaps"
10,20269092,https://www.openstreetmap.org/user/hyeongram,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,hyeongram,3.0,1170.0,993.0,0.0,0.0,177.0,0.0,0.0,0.0,0,0.0,0,0.0,177.0,0.0,0.0,0.0,Chad,iD 2.21.1,"#msfk2023,#Ndjamena2023,#msfk23,#Ndjamena,#hotosm-project-15181,#msf,#msfk,#missingmaps"
11,8379329,https://www.openstreetmap.org/user/Deuckchung,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,Deuckchung,10.0,1120.0,263.0,646.0,111.0,54.0,38.0,8.0,0.0,0,0.0,0,0.0,54.0,28.0,0.0,5.0,"Sudan,Morocco,Democratic Republic of the Congo",JOSM/1.5 (18822 en),"#hotosm-project-15351,#msfk23,#moroccoearthquake2023,#2023sudanconflict,#hotosm-project-14463,#msf,#hotosm-project-15468,#msfk,#masisi23,#missingmaps"
12,5188001,https://www.openstreetmap.org/user/MinENG2,2023-08-31 15:00:00+00:00,2023-09-30 15:00:00+00:00,MinENG2,3.0,1118.0,947.0,1.0,8.0,159.0,1.0,2.0,0.0,0,0.0,0,0.0,159.0,1.0,0.0,0.0,Chad,iD 2.21.1,"#Ndjamena2023,#MSFK,#MSFK23,#Ndjamena,#hotosm-project-15181,#msf,#missingmaps"
