rank,uid,profile,start_date,end_date,name,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,countries,editors,hashtags
1,18827794,https://www.openstreetmap.org/user/Doyeon%20Kim%2012,2023-03-31 15:00:00+00:00,2023-04-30 15:00:00+00:00,Doyeon Kim 12,50.0,3706.0,2686.0,334.0,99.0,553.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,515.0,9.0,1.0,3.0,"Malawi,Equatorial Guinea,Sri Lanka,Democratic Republic of the Congo",iD 2.21.1,"#masisi23,#MangochiDistrict,#hotosm-project-14516,#msfk23,#msf,#hotosm-project-14606,#malawicholeraoutbreak,#hemorrhagicfeverGNQ,#msfk,#hotosm-project-14355,#hotosm-project-14210,#usj-rsmv_osm_workshop_part2,#hotosm-project-14291,#hotosm-project-14452,#missingmaps"
2,18997209,https://www.openstreetmap.org/user/baejiye,2023-03-31 15:00:00+00:00,2023-04-30 15:00:00+00:00,baejiye,1.0,996.0,388.0,0.0,435.0,71.0,8.0,94.0,0.0,0.0,0.0,0.0,0.0,71.0,7.0,0.0,1.0,Guinea,iD 2.21.1,"#msfk,#msfk23"
3,17327267,https://www.openstreetmap.org/user/MarigoldC,2023-03-31 15:00:00+00:00,2023-04-30 15:00:00+00:00,MarigoldC,4.0,831.0,0.0,759.0,57.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"South Sudan,Libyan Arab Jamahiriya",iD 2.21.1,"#LNDTI,#MapTripoli,#MapLibya,#JurRiver,#Infrastructure,#Buildings,#Air,#missingmaps,#msfk23,#Vegetation,#hotosm-project-11607,#Soil,#OSMGeoWeek,#LNSDI,#Water,#hotosm-project-13599,#StreetsRoads,#REACH,#msfk,#LandUseLandCover"
4,18890071,https://www.openstreetmap.org/user/happypypy,2023-03-31 15:00:00+00:00,2023-04-30 15:00:00+00:00,happypypy,7.0,459.0,392.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,"El Salvador,Malawi,Democratic Republic of the Congo",iD 2.21.1,"#hotosm-project-14139,#Kisangani,#MangochiDistrict,#msfk23,#msf,#hotosm-project-12803,#malawicholeraoutbreak,#msfk,#2022DRC,#OpenCitiesLAC,#acnfy23,#hotosm-project-14210,#accenture,#missingmaps"
5,18938833,https://www.openstreetmap.org/user/HyeinHong,2023-03-31 15:00:00+00:00,2023-04-30 15:00:00+00:00,HyeinHong,9.0,398.0,310.0,0.0,18.0,66.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,1.0,"Nigeria,Malawi,Democratic Republic of the Congo",iD 2.21.1,"#Kisangani,#Nigeria,#MangochiDistrict,#hotosm-project-14389,#msfk23,#msf,#hotosm-project-13334,#Gummi,#hotosm-project-12803,#2022DRC,#msfk,#malawicholeraoutbreak,#missingmaps"
6,8379329,https://www.openstreetmap.org/user/Deuckchung,2023-03-31 15:00:00+00:00,2023-04-30 15:00:00+00:00,Deuckchung,1.0,214.0,90.0,91.0,8.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,1.0,Syrian Arab Republic,JOSM/1.5 (18700 en),"#TürkiyeEQ060223,#MissingMaps,#OMHAP,#AKDN,#msfk23,#hotosm-project-14232,#Syria,#msfk"
7,15229898,https://www.openstreetmap.org/user/Palan%20Lee,2023-03-31 15:00:00+00:00,2023-04-30 15:00:00+00:00,Palan Lee,2.0,137.0,100.0,12.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,Nigeria,iD 2.21.1,"#hotosm-project-11871,#MissingMaps,#Nigeria,#Goronyo,#msfk23,#msfk,#2021NigeriaNoma,#Msf"
