rank,uid,profile,start_date,end_date,name,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,countries,editors,hashtags
1,8379329,https://www.openstreetmap.org/user/Deuckchung,2022-12-31 15:00:00+00:00,2023-01-31 15:00:00+00:00,Deuckchung,44.0,5437.0,2258.0,2116.0,446.0,457.0,143.0,17.0,0.0,0.0,0.0,0.0,0.0,439.0,107.0,9.0,25.0,"Mauritania,Pakistan,Yemen,Niger,Democratic Republic of the Congo","JOSM/1.5 (18622 en),JOSM/1.5 (18621 en)","#hotosm-project-13827,#Sandoa,#redcross,#niger,#YAH,#msfk23,#hotosm-project-13917,#pakistanflood,#pakistanfloodsmonsoon2022,#hotosm-project-11939,#hotosm-project-9755,#mappingyemen,#OSMAfrica,#SAC,#2022DRC,#missingmaps,#hotosm-project-9031,#hotosm-project-13404,#msfk,#disasterresponsemapping,#MapMauritania,#msf,#Projet"
2,18350279,https://www.openstreetmap.org/user/%EA%B9%80%EC%A7%84%EA%B2%BD,2022-12-31 15:00:00+00:00,2023-01-31 15:00:00+00:00,김진경,16.0,2929.0,2604.0,3.0,0.0,315.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,1.0,0.0,4.0,"Democratic Republic of the Congo,Angola",iD 2.21.1,"#hotosm-project-14169,#2022DRC,#missingmaps,#msfk23,#Kisangani,#msfk,#HuilaProvince,#hotosm-project-12803,#msf"
3,18259307,https://www.openstreetmap.org/user/Ireneeom,2022-12-31 15:00:00+00:00,2023-01-31 15:00:00+00:00,Ireneeom,30.0,2492.0,1938.0,34.0,40.0,467.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,467.0,0.0,0.0,3.0,"Malaysia,Kenya,El Salvador",iD 2.21.1,"#uinspiremalaysia,#samukm,#msfk22,#uinspireindonesia,#grabmalaysia,#msfk23,#hotosm-project-13864,#acthot,#OpenCitiesLAC,#uinspire,#msfk,#OSMMalaysia,#awsmapathon,#hotosm-project-9401,#homestreethome,#SAfloodmapping,#hotosm-project-14023"
4,14473997,https://www.openstreetmap.org/user/iankim23,2022-12-31 15:00:00+00:00,2023-01-31 15:00:00+00:00,iankim23,8.0,962.0,827.0,3.0,0.0,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,1.0,Angola,iD 2.21.1,"#missingmaps,#msfk23,#hotosm-project-14098,#msfk,#HuilaProvince,#msf"
5,16034465,https://www.openstreetmap.org/user/hyungbin47,2022-12-31 15:00:00+00:00,2023-01-31 15:00:00+00:00,hyungbin47,1.0,55.0,44.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,Democratic Republic of the Congo,iD 2.21.1,"#2022DRC,#missingmaps,#msfk23,#Kisangani,#msfk,#hotosm-project-12803,#msf"
