rank,uid,profile,start_date,end_date,name,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,countries,editors,hashtags
11,19708732,https://www.openstreetmap.org/user/anseoyeon,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,anseoyeon,3.0,250.0,61.0,0.0,143.0,14.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,"Ethiopia,Nigeria,Sri Lanka",iD 2.21.1,"#msfk23,#hotosm-project-15235,#hotosm-project-14858,#msfk,#uniquemappersnetwork,#dmc,#OSMEthiopia,#hotosm-project-14637,#uniquemappersteam,#omofoodsecuritymapping,#kalutara,#srilanka,#uniquemappersnetwork2023"
12,18938833,https://www.openstreetmap.org/user/HyeinHong,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,HyeinHong,4.0,220.0,131.0,66.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,Malawi,iD 2.21.1,"#msfk23,#missingmaps,#msfk,#hotosm-project-14389,#MangochiDistrict,#msf,#malawicholeraoutbreak"
13,17327267,https://www.openstreetmap.org/user/MarigoldC,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,MarigoldC,2.0,149.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Sri Lanka,iD 2.21.1,"#msfk23,#msfk,#dmc,#hotosm-project-14637,#kalutara,#srilanka"
14,20049997,https://www.openstreetmap.org/user/3113%20%EC%9D%B4%EC%8A%B9%EC%9A%B0,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,3113 이승우,3.0,110.0,82.0,5.0,0.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,6.0,4.0,Sri Lanka,iD 2.21.1,"#msfk23,#msfk,#dmc,#hotosm-project-14637,#kalutara,#srilanka"
15,20088550,https://www.openstreetmap.org/user/%EB%B0%95%EC%88%98%EC%95%84,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,박수아,1.0,56.0,38.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,2.0,Sri Lanka,iD 2.21.1,"#msfk23,#msfk"
16,19628817,https://www.openstreetmap.org/user/zzin,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,zzin,1.0,40.0,32.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,Chad,iD 2.21.1,"#missingmaps,#msfk,#Ndjamena2023,#mskf23,#Ndjamena,#hotosm-project-15181,#msf"
17,20088545,https://www.openstreetmap.org/user/%EA%B9%80%EC%84%9C%EC%A0%95,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,김서정,16.0,37.0,12.0,1.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,8.0,4.0,Sri Lanka,iD 2.21.1,"#msfk23,#msfk"
18,19818811,https://www.openstreetmap.org/user/30214,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,30214,1.0,23.0,19.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Sri Lanka,iD 2.21.1,"#msfk,#dmc,#hotosm-project-14637,#kalutara,#msfk20,#srilanka"
19,20088557,https://www.openstreetmap.org/user/%EC%9D%B4%EB%8B%A4%EB%B9%88,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,이다빈,3.0,13.0,9.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Sri Lanka,iD 2.21.1,"#msfk23,#msfk"
20,20085582,https://www.openstreetmap.org/user/hyejiyoon,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,hyejiyoon,1.0,10.0,5.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Sri Lanka,iD 2.21.1,"#msfk23,#msfk,#dmc,#hotosm-project-14637,#kalutara,#srilanka"
21,20088553,https://www.openstreetmap.org/user/%ED%99%A9%EC%98%88%EC%A7%80,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,황예지,5.0,7.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Sri Lanka,iD 2.21.1,"#msfk23,#msfk,#dmc,#hotosm-project-14637,#kalutara,#srilanka"
22,20088542,https://www.openstreetmap.org/user/20313%EC%B5%9C%EC%A7%80%EC%9C%A4,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,20313최지윤,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,South Africa,iD 2.21.1,"#msfk23,#msfk,#DurbanFloods,#hotosm-project-12597,#OpenMappingHub-ESA"
