rank,uid,profile,start_date,end_date,name,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,countries,editors,hashtags
1,19956002,https://www.openstreetmap.org/user/timeontheroad,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,timeontheroad,38.0,2100.0,1420.0,280.0,43.0,316.0,34.0,7.0,0.0,0.0,0.0,0.0,0.0,313.0,3.0,3.0,29.0,Chad,iD 2.21.1,"#msfk23,#missingmaps,#msfk,#Ndjamena2023,#Ndjamena,#hotosm-project-15181,#msf"
2,18415567,https://www.openstreetmap.org/user/Choe%20Gwanghyeon,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,Choe Gwanghyeon,9.0,2040.0,879.0,568.0,502.0,61.0,13.0,17.0,0.0,0.0,0.0,0.0,1.0,61.0,9.0,0.0,4.0,"South Africa,Sri Lanka,Rwanda,Malawi",iD 2.21.1,"#msfk23,#hotosm-project-14389,#kalutara,#msfk,#MapRwanda,#hotosm-project-12598,#MangochiDistrict,#EcoMappers,#msf,#malawicholeraoutbreak,#srilanka,#NyarurumaCell,#dmc,#hotosm-project-15433,#missingmaps,#DurbanFloods,#hotosm-project-14637,#OSMRwanda,#umuganda"
3,8379329,https://www.openstreetmap.org/user/Deuckchung,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,Deuckchung,11.0,2006.0,208.0,1302.0,453.0,4.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,1.0,Democratic Republic of the Congo,JOSM/1.5 (18789 en),"#msfk23,#missingmaps,#hotosm-project-14463,#msfk,#masisi23,#msf"
4,20073338,https://www.openstreetmap.org/user/sunju%20park,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,sunju park,5.0,1075.0,847.0,29.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,Sri Lanka,iD 2.21.1,"#msfk23,#msfk,#dmc,#hotosm-project-14637,#kalutara,#srilanka"
5,18997209,https://www.openstreetmap.org/user/baejiye,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,baejiye,2.0,1067.0,932.0,3.0,42.0,79.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,1.0,"Timor-Leste,Sudan",iD 2.21.1,"#msfk23,#missingmaps,#hotosm-project-15141,#msfk,#WestDarfur2023,#Timor,#Climate,#msf,#hotosm-project-15404"
6,19985374,https://www.openstreetmap.org/user/theodore%20rhui,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,theodore rhui,16.0,1007.0,815.0,1.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,"Kenya,Sri Lanka",iD 2.21.1,"#msfk23,#srilanka,#msfk,#dmd,#WBR,#NFL,#dmc,#hotosm-project-14637,#EPFL,#hotosm-project-12614,#YouthMappers,#OSMNepal,#RemoteMappingKenya,#kalutara,#GESAN,#Naxa"
7,18827794,https://www.openstreetmap.org/user/Doyeon%20Kim%2012,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,Doyeon Kim 12,8.0,876.0,706.0,12.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,Malawi,iD 2.21.1,"#msfk23,#missingmaps,#msfk,#hotosm-project-14389,#MangochiDistrict,#msf,#malawicholeraoutbreak"
8,19975581,https://www.openstreetmap.org/user/%EC%B0%A8%EC%9B%90%ED%98%B8,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,차원호,18.0,796.0,669.0,20.0,0.0,103.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,3.0,3.0,"Namibia,Nigeria,Kenya,Colombia,Burkina Faso,Japan,Brazil",iD 2.21.1,"#msfk23,#hotosm-project-15259,#hotosm-project-15347,#BRASIL-,#SOSPuenteQuetame2023,#GRMIXUniJosYouthMapper,#msfk,#hotosm-project-15329,#UniJosYouthMapper,#hotosm-project-15275,#hotosm-project-15253,#youthmappers,#hotosm-project-15381,#YouthMappersAGU,#hotosm-project-15274,#FuruhashiLab,#missingmaps,#NigeriaFloods2023,#UMBRAOSM,#hotosm-project-15313,#hotosm-project-15359,#DRONEBIRD"
9,15229898,https://www.openstreetmap.org/user/Palan%20Lee,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,Palan Lee,4.0,727.0,656.0,30.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,Sudan,iD 2.21.1,"#msfk23,#missingmaps,#msfk,#hotosm-project-15076,#WestDarfur2023,#msf"
10,20089228,https://www.openstreetmap.org/user/mmmhaa,2023-07-31 15:00:00+00:00,2023-08-31 15:00:00+00:00,mmmhaa,3.0,330.0,193.0,39.0,0.0,58.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,38.0,Lao People's Democratic Republic,iD 2.21.1,"#msfk,#xaithani-district,#vientiane-capital,#hotosm-project-14840,#osm-laos,#laos,#msfk2023"
