timestamp,users,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,editors
2023-08-01,1.0,26.0,1413.0,1049.0,92.0,13.0,233.0,24.0,2.0,0,0,0,0,0.0,231.0,0.0,2.0,22.0,"{""id"": 1413}"
2023-08-03,2.0,5.0,832.0,656.0,135.0,0.0,40.0,1.0,0.0,0,0,0,0,0.0,40.0,1.0,0.0,0.0,"{""id"": 832}"
2023-08-05,1.0,4.0,220.0,131.0,66.0,0.0,23.0,0.0,0.0,0,0,0,0,0.0,23.0,0.0,0.0,0.0,"{""id"": 220}"
2023-08-06,1.0,1.0,100.0,0.0,0.0,80.0,0.0,0.0,20.0,0,0,0,0,0.0,,,,,"{""josm"": 100}"
2023-08-07,3.0,12.0,619.0,511.0,25.0,0.0,77.0,6.0,0.0,0,0,0,0,1.0,54.0,1.0,6.0,4.0,"{""id"": 619}"
2023-08-08,2.0,11.0,464.0,383.0,0.0,0.0,78.0,3.0,0.0,0,0,0,0,0.0,71.0,0.0,3.0,3.0,"{""id"": 464}"
2023-08-09,1.0,8.0,876.0,706.0,12.0,0.0,158.0,0.0,0.0,0,0,0,0,0.0,158.0,0.0,0.0,0.0,"{""id"": 876}"
2023-08-10,1.0,1.0,44.0,0.0,44.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,"{""id"": 44}"
2023-08-11,3.0,7.0,236.0,191.0,0.0,0.0,45.0,0.0,0.0,0,0,0,0,0.0,45.0,0.0,0.0,0.0,"{""id"": 236}"
2023-08-14,3.0,18.0,2427.0,1408.0,594.0,79.0,327.0,17.0,2.0,0,0,0,0,0.0,327.0,15.0,0.0,1.0,"{""id"": 1732, ""josm"": 695}"
2023-08-16,3.0,5.0,1317.0,993.0,3.0,185.0,93.0,1.0,42.0,0,0,0,0,0.0,91.0,0.0,0.0,1.0,"{""id"": 1317}"
2023-08-18,8.0,31.0,585.0,291.0,100.0,30.0,102.0,58.0,4.0,0,0,0,0,1.0,32.0,8.0,70.0,46.0,"{""id"": 585}"
2023-08-19,1.0,1.0,406.0,92.0,193.0,84.0,17.0,6.0,14.0,0,0,0,0,0.0,17.0,6.0,0.0,0.0,"{""id"": 406}"
2023-08-20,2.0,11.0,2462.0,749.0,1033.0,680.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,"{""id"": 1251, ""josm"": 1211}"
2023-08-26,1.0,2.0,252.0,183.0,22.0,5.0,40.0,2.0,0.0,0,0,0,0,0.0,40.0,0.0,0.0,2.0,"{""id"": 252}"
2023-08-30,1.0,12.0,687.0,371.0,188.0,30.0,83.0,10.0,5.0,0,0,0,0,0.0,82.0,3.0,1.0,7.0,"{""id"": 687}"
